epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3093.55,0.94655,0.62766,1.14405,0.90242,0.83317,0.90693,0.65661,0.98079,0.63354,1.18834,0.001585,0.001585,0.001585
87,3486.1,0.94036,0.6242,1.14444,0.90496,0.83416,0.90773,0.65716,0.97904,0.62984,1.18766,0.001486,0.001486,0.001486
88,3875.03,0.93563,0.61741,1.13862,0.90951,0.83082,0.90859,0.65819,0.97816,0.62479,1.18715,0.001387,0.001387,0.001387
89,4266.42,0.93268,0.61718,1.1366,0.90995,0.8305,0.90999,0.66007,0.97704,0.62167,1.18671,0.001288,0.001288,0.001288
90,4657.53,0.92654,0.61347,1.13432,0.90885,0.8305,0.91046,0.66082,0.97536,0.61797,1.18522,0.001189,0.001189,0.001189
91,5064.87,0.87137,0.50897,1.06603,0.90995,0.83251,0.91078,0.66135,0.97378,0.61515,1.18409,0.00109,0.00109,0.00109
92,5455.29,0.86405,0.49952,1.06518,0.90968,0.83144,0.91073,0.66144,0.97192,0.61165,1.1832,0.000991,0.000991,0.000991
93,5845.59,0.85636,0.49454,1.06059,0.90994,0.83139,0.91158,0.66187,0.97047,0.60887,1.18236,0.000892,0.000892,0.000892
94,6235.29,0.84821,0.48806,1.05448,0.91842,0.8278,0.90987,0.66148,0.96868,0.60723,1.18155,0.000793,0.000793,0.000793
95,6625.51,0.84041,0.48175,1.05075,0.91915,0.82782,0.91093,0.66312,0.96808,0.60443,1.18082,0.000694,0.000694,0.000694
96,7015.2,0.84,0.47627,1.04473,0.92133,0.82693,0.91035,0.6625,0.96715,0.60222,1.1803,0.000595,0.000595,0.000595
97,7405.25,0.83007,0.47634,1.04181,0.92294,0.82693,0.91071,0.66238,0.96627,0.60056,1.17988,0.000496,0.000496,0.000496
98,7795.12,0.8304,0.47394,1.04107,0.92519,0.82693,0.91119,0.66284,0.96592,0.59905,1.18008,0.000397,0.000397,0.000397
99,8183.61,0.82302,0.46633,1.0365,0.92523,0.82693,0.91096,0.66367,0.9655,0.59657,1.18004,0.000298,0.000298,0.000298
100,8573.87,0.82179,0.46554,1.03798,0.92474,0.82693,0.91153,0.66528,0.96497,0.5946,1.17979,0.000199,0.000199,0.000199
